Last position of orbit,   A
-0.07737759  0.          3.48633593  1.         0.20195
 -2.08787244e-03   0.00000000e+00   3.82601054e+00   1.00000000e+00 0.20194
 0.077298    0.          2.79811742  1.         0.20193
  2.18694977e-03   0.00000000e+00   2.45755019e+00   1.00000000e+00 0.20192
-0.07721169  0.          3.48368602  1.         0.20191
 -2.29591463e-03   0.00000000e+00   3.82523239e+00   1.00000000e+00 0.2019
 0.07711645  0.          2.80103244  1.         0.20189
  2.41936542e-03   0.00000000e+00   2.45839496e+00   1.00000000e+00 0.20188
-0.0770084   0.          3.48040248  1.         0.20187
 -2.56507787e-03   0.00000000e+00   3.82428703e+00   1.00000000e+00 0.20186
 0.07687935  0.          2.8048897   1.         0.20185
 0.00274855  0.          2.45950418  1.         0.20184
-0.0767048  0.         3.4754172  1.        0.20183
 -3.05073606e-03   0.00000000e+00   3.82274922e+00   1.00000000e+00 0.20182
 0.07592353  0.          2.82054419  1.         0.20181
