eig1   eig2   A
(0.484475494721+0.223391106784j) (0.484475494721-0.223391106784j) 0.0766
(0.483652046736+0.2251683576j) (0.483652046736-0.2251683576j) 0.0768
(0.482826471838+0.226933227334j) (0.482826471838-0.226933227334j) 0.077
(0.48199877019+0.228685979262j) (0.48199877019-0.228685979262j) 0.0772
(0.481168941953+0.230426866652j) (0.481168941953-0.230426866652j) 0.0774
(0.48033698729+0.232156133274j) (0.48033698729-0.232156133274j) 0.0776
(0.479502906364+0.233874013871j) (0.479502906364-0.233874013871j) 0.0778
(0.478666699337+0.235580734615j) (0.478666699337-0.235580734615j) 0.078
(0.477828366373+0.237276513513j) (0.477828366373-0.237276513513j) 0.0782
(0.476987907636+0.238961560809j) (0.476987907636-0.238961560809j) 0.0784
(0.476145323291+0.240636079347j) (0.476145323291-0.240636079347j) 0.0786
(0.475300613503+0.242300264919j) (0.475300613503-0.242300264919j) 0.0788
(0.474453778436+0.24395430659j) (0.474453778436-0.24395430659j) 0.079
(0.473604818256+0.245598387007j) (0.473604818256-0.245598387007j) 0.0792
(0.47275373313+0.247232682685j) (0.47275373313-0.247232682685j) 0.0794
(0.471900523223+0.248857364282j) (0.471900523223-0.248857364282j) 0.0796
(0.471045188704+0.250472596854j) (0.471045188704-0.250472596854j) 0.0798
(0.470187729739+0.2520785401j) (0.470187729739-0.2520785401j) 0.08
(0.469328146495+0.253675348592j) (0.469328146495-0.253675348592j) 0.0802
(0.468466439142+0.255263171988j) (0.468466439142-0.255263171988j) 0.0804
(0.467602607847+0.256842155244j) (0.467602607847-0.256842155244j) 0.0806
(0.466736652781+0.258412438801j) (0.466736652781-0.258412438801j) 0.0808
(0.465868574111+0.259974158777j) (0.465868574111-0.259974158777j) 0.081
(0.464998372008+0.261527447136j) (0.464998372008-0.261527447136j) 0.0812
(0.464126046643+0.263072431858j) (0.464126046643-0.263072431858j) 0.0814
(0.463251598186+0.264609237092j) (0.463251598186-0.264609237092j) 0.0816
(0.462375026808+0.266137983311j) (0.462375026808-0.266137983311j) 0.0818
(0.46149633268+0.267658787449j) (0.46149633268-0.267658787449j) 0.082
(0.460615515975+0.269171763041j) (0.460615515975-0.269171763041j) 0.0822
(0.459732576866+0.270677020348j) (0.459732576866-0.270677020348j) 0.0824
(0.458847515523+0.272174666481j) (0.458847515523-0.272174666481j) 0.0826
(0.457960332122+0.273664805516j) (0.457960332122-0.273664805516j) 0.0828
(0.457071026836+0.27514753861j) (0.457071026836-0.27514753861j) 0.083
(0.456179599838+0.2766229641j) (0.456179599838-0.2766229641j) 0.0832
(0.455286051304+0.27809117761j) (0.455286051304-0.27809117761j) 0.0834
(0.454390381407+0.279552272144j) (0.454390381407-0.279552272144j) 0.0836
(0.453492590324+0.28100633818j) (0.453492590324-0.28100633818j) 0.0838
(0.45259267823+0.282453463758j) (0.45259267823-0.282453463758j) 0.084
(0.451690645301+0.283893734563j) (0.451690645301-0.283893734563j) 0.0842
(0.450786491714+0.285327234005j) (0.450786491714-0.285327234005j) 0.0844
(0.449880217645+0.286754043298j) (0.449880217645-0.286754043298j) 0.0846
(0.448971823273+0.288174241533j) (0.448971823273-0.288174241533j) 0.0848
(0.448061308774+0.289587905748j) (0.448061308774-0.289587905748j) 0.085
(0.447148674328+0.290995110995j) (0.447148674328-0.290995110995j) 0.0852
(0.446233920113+0.292395930404j) (0.446233920113-0.292395930404j) 0.0854
(0.445317046307+0.29379043525j) (0.445317046307-0.29379043525j) 0.0856
(0.444398053092+0.295178695005j) (0.444398053092-0.295178695005j) 0.0858
(0.443476940645+0.296560777401j) (0.443476940645-0.296560777401j) 0.086
(0.442553709148+0.297936748482j) (0.442553709148-0.297936748482j) 0.0862
(0.441628358781+0.299306672656j) (0.441628358781-0.299306672656j) 0.0864
(0.440700889726+0.300670612749j) (0.440700889726-0.300670612749j) 0.0866
(0.439771302165+0.302028630048j) (0.439771302165-0.302028630048j) 0.0868
(0.438839596278+0.303380784353j) (0.438839596278-0.303380784353j) 0.087
(0.437905772249+0.304727134019j) (0.437905772249-0.304727134019j) 0.0872
(0.43696983026+0.306067735997j) (0.43696983026-0.306067735997j) 0.0874
(0.436031770496+0.307402645882j) (0.436031770496-0.307402645882j) 0.0876
(0.435091593138+0.308731917943j) (0.435091593138-0.308731917943j) 0.0878
(0.434149298372+0.310055605174j) (0.434149298372-0.310055605174j) 0.088
(0.433204886382+0.311373759317j) (0.433204886382-0.311373759317j) 0.0882
(0.432258357353+0.31268643091j) (0.432258357353-0.31268643091j) 0.0884
(0.43130971147+0.313993669312j) (0.43130971147-0.313993669312j) 0.0886
(0.43035894892+0.315295522742j) (0.43035894892-0.315295522742j) 0.0888
(0.429406069887+0.316592038309j) (0.429406069887-0.316592038309j) 0.089
(0.428451074559+0.31788326204j) (0.428451074559-0.31788326204j) 0.0892
(0.427493963124+0.319169238915j) (0.427493963124-0.319169238915j) 0.0894
(0.426534735767+0.320450012889j) (0.426534735767-0.320450012889j) 0.0896
(0.425573392678+0.321725626926j) (0.425573392678-0.321725626926j) 0.0898
(0.424609934045+0.322996123022j) (0.424609934045-0.322996123022j) 0.09
(0.423644360055+0.324261542231j) (0.423644360055-0.324261542231j) 0.0902
(0.422676670899+0.325521924691j) (0.422676670899-0.325521924691j) 0.0904
(0.421706866766+0.326777309646j) (0.421706866766-0.326777309646j) 0.0906
(0.420734947845+0.328027735471j) (0.420734947845-0.328027735471j) 0.0908
(0.419760914328+0.329273239695j) (0.419760914328-0.329273239695j) 0.091
(0.418784766405+0.330513859019j) (0.418784766405-0.330513859019j) 0.0912
(0.417806504267+0.331749629343j) (0.417806504267-0.331749629343j) 0.0914
(0.416826128106+0.332980585778j) (0.416826128106-0.332980585778j) 0.0916
(0.415843638113+0.334206762675j) (0.415843638113-0.334206762675j) 0.0918
(0.414859034482+0.335428193635j) (0.414859034482-0.335428193635j) 0.092
(0.413872317406+0.336644911535j) (0.413872317406-0.336644911535j) 0.0922
(0.412883487076+0.33785694854j) (0.412883487076-0.33785694854j) 0.0924
(0.411892543689+0.339064336123j) (0.411892543689-0.339064336123j) 0.0926
(0.410899487436+0.340267105083j) (0.410899487436-0.340267105083j) 0.0928
(0.409904318513+0.341465285558j) (0.409904318513-0.341465285558j) 0.093
(0.408907037116+0.34265890704j) (0.408907037116-0.34265890704j) 0.0932
(0.407907643439+0.343847998396j) (0.407907643439-0.343847998396j) 0.0934
(0.406906137678+0.345032587877j) (0.406906137678-0.345032587877j) 0.0936
(0.405902520029+0.346212703134j) (0.405902520029-0.346212703134j) 0.0938
(0.404896790689+0.347388371231j) (0.404896790689-0.347388371231j) 0.094
(0.403888949856+0.348559618661j) (0.403888949856-0.348559618661j) 0.0942
(0.402878997726+0.349726471358j) (0.402878997726-0.349726471358j) 0.0944
(0.401866934498+0.350888954706j) (0.401866934498-0.350888954706j) 0.0946
(0.400852760369+0.352047093556j) (0.400852760369-0.352047093556j) 0.0948
(0.399836475539+0.353200912237j) (0.399836475539-0.353200912237j) 0.095
(0.398818080207+0.354350434566j) (0.398818080207-0.354350434566j) 0.0952
(0.397797574572+0.355495683858j) (0.397797574572-0.355495683858j) 0.0954
(0.396774958835+0.356636682941j) (0.396774958835-0.356636682941j) 0.0956
(0.395750233195+0.357773454162j) (0.395750233195-0.357773454162j) 0.0958
(0.394723397854+0.358906019403j) (0.394723397854-0.358906019403j) 0.096
(0.393694453012+0.360034400085j) (0.393694453012-0.360034400085j) 0.0962
(0.392663398872+0.36115861718j) (0.392663398872-0.36115861718j) 0.0964
(0.391630235636+0.362278691221j) (0.391630235636-0.362278691221j) 0.0966
(0.390594963506+0.363394642312j) (0.390594963506-0.363394642312j) 0.0968
(0.389557582685+0.364506490134j) (0.389557582685-0.364506490134j) 0.097
(0.388518093376+0.365614253957j) (0.388518093376-0.365614253957j) 0.0972
(0.387476495783+0.366717952646j) (0.387476495783-0.366717952646j) 0.0974
(0.386432790111+0.367817604669j) (0.386432790111-0.367817604669j) 0.0976
(0.385386976563+0.368913228108j) (0.385386976563-0.368913228108j) 0.0978
(0.384339055345+0.370004840662j) (0.384339055345-0.370004840662j) 0.098
(0.383289026663+0.371092459661j) (0.383289026663-0.371092459661j) 0.0982
(0.382236890722+0.372176102065j) (0.382236890722-0.372176102065j) 0.0984
(0.381182647728+0.373255784481j) (0.381182647728-0.373255784481j) 0.0986
(0.380126297889+0.37433152316j) (0.380126297889-0.37433152316j) 0.0988
(0.37906784141+0.37540333401j) (0.37906784141-0.37540333401j) 0.099
(0.378007278501+0.376471232603j) (0.378007278501-0.376471232603j) 0.0992
(0.376944609368+0.377535234178j) (0.376944609368-0.377535234178j) 0.0994
(0.37587983422+0.378595353648j) (0.37587983422-0.378595353648j) 0.0996
(0.374812953266+0.379651605609j) (0.374812953266-0.379651605609j) 0.0998
