eig1   eig2   A
(0.342758005889+0.408823973085j) (0.342758005889-0.408823973085j) 0.2571
(0.343517035876+0.408186400597j) (0.343517035876-0.408186400597j) 0.25711
(0.344276389428+0.40754614371j) (0.344276389428-0.40754614371j) 0.25712
(0.345036066518+0.40690318796j) (0.345036066518-0.40690318796j) 0.25713
(0.34579606712+0.406257518742j) (0.34579606712-0.406257518742j) 0.25714
(0.346556391208+0.405609121301j) (0.346556391208-0.405609121301j) 0.25715
(0.347317038753+0.404957980736j) (0.347317038753-0.404957980736j) 0.25716
(0.348078009725+0.404304081992j) (0.348078009725-0.404304081992j) 0.25717
(0.348839304095+0.403647409862j) (0.348839304095-0.403647409862j) 0.25718
(0.349600921829+0.402987948984j) (0.349600921829-0.402987948984j) 0.25719
(0.350362862894+0.402325683837j) (0.350362862894-0.402325683837j) 0.2572
(0.351125171652+0.401660559929j) (0.351125171652-0.401660559929j) 0.25721
(0.351887762629+0.400992635945j) (0.351887762629-0.400992635945j) 0.25722
(0.352650679191+0.400321858055j) (0.352650679191-0.400321858055j) 0.25723
(0.353413957324+0.3996481782j) (0.353413957324-0.3996481782j) 0.25724
(0.354177522281+0.398971645961j) (0.354177522281-0.398971645961j) 0.25725
(0.354943476976+0.398290371114j) (0.354943476976-0.398290371114j) 0.25726
(0.355707708191+0.397607995271j) (0.355707708191-0.397607995271j) 0.25727
(0.356472264542+0.396922682877j) (0.356472264542-0.396922682877j) 0.25728
(0.357234866129+0.396236472314j) (0.357234866129-0.396236472314j) 0.25729
(0.35800060136+0.395544764844j) (0.35800060136-0.395544764844j) 0.2573
(0.358766013781+0.394850653951j) (0.358766013781-0.394850653951j) 0.25731
(0.359533356506+0.394152073608j) (0.359533356506-0.394152073608j) 0.25732
(0.360299654293+0.393451713285j) (0.360299654293-0.393451713285j) 0.25733
(0.361064692027+0.392749767334j) (0.361064692027-0.392749767334j) 0.25734
(0.361830911732+0.392043980805j) (0.361830911732-0.392043980805j) 0.25735
(0.362598820409+0.3913338562j) (0.362598820409-0.3913338562j) 0.25736
(0.363366273114+0.390621355193j) (0.363366273114-0.390621355193j) 0.25737
(0.364134049165+0.389905739646j) (0.364134049165-0.389905739646j) 0.25738
(0.364902148551+0.389186990472j) (0.364902148551-0.389186990472j) 0.25739
(0.365670571263+0.38846508837j) (0.365670571263-0.38846508837j) 0.2574
(0.366439317292+0.387740013814j) (0.366439317292-0.387740013814j) 0.25741
