eig1   eig2   A
(-0.679843062385+0.267041921134j) (-0.679843062385-0.267041921134j) 0.20153
(-0.679984217012+0.266682286119j) (-0.679984217012-0.266682286119j) 0.20154
(-0.680125378165+0.266322073984j) (-0.680125378165-0.266322073984j) 0.20155
(-0.680266545843+0.265961282375j) (-0.680266545843-0.265961282375j) 0.20156
(-0.680407720046+0.265599908919j) (-0.680407720046-0.265599908919j) 0.20157
(-0.680548900773+0.265237951228j) (-0.680548900773-0.265237951228j) 0.20158
(-0.680690088026+0.264875406896j) (-0.680690088026-0.264875406896j) 0.20159
(-0.680831281804+0.264512273502j) (-0.680831281804-0.264512273502j) 0.2016
(-0.680972482106+0.264148548605j) (-0.680972482106-0.264148548605j) 0.20161
(-0.681113688933+0.263784229748j) (-0.681113688933-0.263784229748j) 0.20162
(-0.681254902284+0.263419314457j) (-0.681254902284-0.263419314457j) 0.20163
(-0.68139612216+0.263053800239j) (-0.68139612216-0.263053800239j) 0.20164
(-0.681537348561+0.262687684584j) (-0.681537348561-0.262687684584j) 0.20165
(-0.681678581486+0.262320964962j) (-0.681678581486-0.262320964962j) 0.20166
(-0.681819820935+0.261953638828j) (-0.681819820935-0.261953638828j) 0.20167
(-0.681961066909+0.261585703616j) (-0.681961066909-0.261585703616j) 0.20168
(-0.682102319406+0.261217156741j) (-0.682102319406-0.261217156741j) 0.20169
(-0.682243578428+0.260847995601j) (-0.682243578428-0.260847995601j) 0.2017
(-0.682384843974+0.260478217574j) (-0.682384843974-0.260478217574j) 0.20171
(-0.682526116043+0.260107820017j) (-0.682526116043-0.260107820017j) 0.20172
(-0.682667394637+0.259736800271j) (-0.682667394637-0.259736800271j) 0.20173
(-0.682808679755+0.259365155654j) (-0.682808679755-0.259365155654j) 0.20174
(-0.682949971396+0.258992883466j) (-0.682949971396-0.258992883466j) 0.20175
(-0.683091269561+0.258619980986j) (-0.683091269561-0.258619980986j) 0.20176
(-0.683232574249+0.258246445475j) (-0.683232574249-0.258246445475j) 0.20177
(-0.683373885461+0.257872274169j) (-0.683373885461-0.257872274169j) 0.20178
(-0.683515203197+0.257497464287j) (-0.683515203197-0.257497464287j) 0.20179
(-0.683656527455+0.257122013027j) (-0.683656527455-0.257122013027j) 0.2018
(-0.683797858238+0.256745917562j) (-0.683797858238-0.256745917562j) 0.20181
(-0.683939195543+0.256369175049j) (-0.683939195543-0.256369175049j) 0.20182
(-0.684080539372+0.255991782619j) (-0.684080539372-0.255991782619j) 0.20183
(-0.684221889724+0.255613737382j) (-0.684221889724-0.255613737382j) 0.20184
(-0.684363246598+0.255235036429j) (-0.684363246598-0.255235036429j) 0.20185
(-0.684504609996+0.254855676824j) (-0.684504609996-0.254855676824j) 0.20186
(-0.684645979917+0.254475655612j) (-0.684645979917-0.254475655612j) 0.20187
(-0.68478735636+0.254094969814j) (-0.68478735636-0.254094969814j) 0.20188
(-0.684928739326+0.253713616427j) (-0.684928739326-0.253713616427j) 0.20189
(-0.685070128815+0.253331592425j) (-0.685070128815-0.253331592425j) 0.2019
(-0.685211524827+0.252948894759j) (-0.685211524827-0.252948894759j) 0.20191
(-0.685352927361+0.252565520357j) (-0.685352927361-0.252565520357j) 0.20192
(-0.685494336417+0.252181466122j) (-0.685494336417-0.252181466122j) 0.20193
(-0.685635751996+0.25179672893j) (-0.685635751996-0.25179672893j) 0.20194
(-0.685777174097+0.251411305637j) (-0.685777174097-0.251411305637j) 0.20195
(-0.685918602721+0.251025193072j) (-0.685918602721-0.251025193072j) 0.20196
(-0.686060037867+0.250638388037j) (-0.686060037867-0.250638388037j) 0.20197
(-0.686201479534+0.250250887312j) (-0.686201479534-0.250250887312j) 0.20198
(-0.686342927724+0.249862687647j) (-0.686342927724-0.249862687647j) 0.20199
(-0.686484382436+0.249473785771j) (-0.686484382436-0.249473785771j) 0.202
(-0.68662584367+0.249084178382j) (-0.68662584367-0.249084178382j) 0.20201
(-0.686767311425+0.248693862154j) (-0.686767311425-0.248693862154j) 0.20202
(-0.686908785703+0.248302833734j) (-0.686908785703-0.248302833734j) 0.20203
(-0.687050266501+0.247911089739j) (-0.687050266501-0.247911089739j) 0.20204
(-0.687191753822+0.247518626762j) (-0.687191753822-0.247518626762j) 0.20205
(-0.687333247664+0.247125441367j) (-0.687333247664-0.247125441367j) 0.20206
(-0.687474748028+0.246731530088j) (-0.687474748028-0.246731530088j) 0.20207
(-0.687616254913+0.246336889432j) (-0.687616254913-0.246336889432j) 0.20208
(-0.687757768319+0.245941515878j) (-0.687757768319-0.245941515878j) 0.20209
(-0.687899288247+0.245545405873j) (-0.687899288247-0.245545405873j) 0.2021
(-0.688040814695+0.245148555836j) (-0.688040814695-0.245148555836j) 0.20211
(-0.688182347665+0.244750962158j) (-0.688182347665-0.244750962158j) 0.20212
(-0.688323887156+0.244352621196j) (-0.688323887156-0.244352621196j) 0.20213
(-0.688465433168+0.24395352928j) (-0.688465433168-0.24395352928j) 0.20214
(-0.688606985701+0.243553682705j) (-0.688606985701-0.243553682705j) 0.20215
(-0.688748544755+0.243153077739j) (-0.688748544755-0.243153077739j) 0.20216
(-0.688890110329+0.242751710615j) (-0.688890110329-0.242751710615j) 0.20217
(-0.689031682424+0.242349577535j) (-0.689031682424-0.242349577535j) 0.20218
(-0.68917326104+0.241946674669j) (-0.68917326104-0.241946674669j) 0.20219
(-0.689314846176+0.241542998153j) (-0.689314846176-0.241542998153j) 0.2022
(-0.689456437833+0.241138544091j) (-0.689456437833-0.241138544091j) 0.20221
(-0.68959803601+0.240733308553j) (-0.68959803601-0.240733308553j) 0.20222
(-0.689739640707+0.240327287574j) (-0.689739640707-0.240327287574j) 0.20223
(-0.689881251925+0.239920477154j) (-0.689881251925-0.239920477154j) 0.20224
(-0.690022869663+0.239512873261j) (-0.690022869663-0.239512873261j) 0.20225
(-0.690164493921+0.239104471824j) (-0.690164493921-0.239104471824j) 0.20226
(-0.690306124699+0.23869526874j) (-0.690306124699-0.23869526874j) 0.20227
(-0.690447761997+0.238285259865j) (-0.690447761997-0.238285259865j) 0.20228
(-0.690589405815+0.237874441022j) (-0.690589405815-0.237874441022j) 0.20229
(-0.690731056153+0.237462807997j) (-0.690731056153-0.237462807997j) 0.2023
(-0.69087271301+0.237050356535j) (-0.69087271301-0.237050356535j) 0.20231
(-0.691014376387+0.236637082346j) (-0.691014376387-0.236637082346j) 0.20232
(-0.691156046284+0.236222981101j) (-0.691156046284-0.236222981101j) 0.20233
(-0.691297722701+0.23580804843j) (-0.691297722701-0.23580804843j) 0.20234
(-0.691439405636+0.235392279925j) (-0.691439405636-0.235392279925j) 0.20235
(-0.691581095092+0.234975671139j) (-0.691581095092-0.234975671139j) 0.20236
(-0.691722791066+0.234558217581j) (-0.691722791066-0.234558217581j) 0.20237
(-0.69186449356+0.234139914722j) (-0.69186449356-0.234139914722j) 0.20238
(-0.692006202573+0.23372075799j) (-0.692006202573-0.23372075799j) 0.20239
(-0.692147918105+0.233300742772j) (-0.692147918105-0.233300742772j) 0.2024
(-0.692289640157+0.232879864409j) (-0.692289640157-0.232879864409j) 0.20241
(-0.692431368727+0.232458118203j) (-0.692431368727-0.232458118203j) 0.20242
(-0.692573103816+0.232035499409j) (-0.692573103816-0.232035499409j) 0.20243
(-0.692714845424+0.23161200324j) (-0.692714845424-0.23161200324j) 0.20244
(-0.692856593551+0.231187624861j) (-0.692856593551-0.231187624861j) 0.20245
(-0.692998348196+0.230762359394j) (-0.692998348196-0.230762359394j) 0.20246
(-0.69314010936+0.230336201913j) (-0.69314010936-0.230336201913j) 0.20247
(-0.693281877043+0.229909147447j) (-0.693281877043-0.229909147447j) 0.20248
(-0.693423651244+0.229481190975j) (-0.693423651244-0.229481190975j) 0.20249
(-0.693565431963+0.229052327431j) (-0.693565431963-0.229052327431j) 0.2025
(-0.693707219201+0.228622551696j) (-0.693707219201-0.228622551696j) 0.20251
(-0.693849012957+0.228191858606j) (-0.693849012957-0.228191858606j) 0.20252
(-0.693990813231+0.227760242945j) (-0.693990813231-0.227760242945j) 0.20253
(-0.694132620023+0.227327699445j) (-0.694132620023-0.227327699445j) 0.20254
(-0.694274433334+0.226894222788j) (-0.694274433334-0.226894222788j) 0.20255
(-0.694416253162+0.226459807603j) (-0.694416253162-0.226459807603j) 0.20256
(-0.694558079509+0.226024448467j) (-0.694558079509-0.226024448467j) 0.20257
(-0.694699912373+0.225588139903j) (-0.694699912373-0.225588139903j) 0.20258
