eig1   eig2   A
(-0.313024273134+0j) (-1.70433420953+0j) 0.2237
(-0.312326618217+0j) (-1.70814124061+0j) 0.2238
(-0.311632473709+0j) (-1.71194603299+0j) 0.2239
(-0.310941807806+0j) (-1.71574861831+0j) 0.224
(-0.310254589138+0j) (-1.71954902778+0j) 0.2241
(-0.309570786767+0j) (-1.72334729219+0j) 0.2242
(-0.308890370177+0j) (-1.7271434419+0j) 0.2243
(-0.308213309266+0j) (-1.73093750685+0j) 0.2244
(-0.307539574338+0j) (-1.73472951657+0j) 0.2245
(-0.306869136097+0j) (-1.73851950021+0j) 0.2246
(-0.306201965639+0j) (-1.74230748651+0j) 0.2247
(-0.305538034444+0j) (-1.74609350384+0j) 0.2248
(-0.304877314369+0j) (-1.74987758017+0j) 0.2249
(-0.304219777644+0j) (-1.75365974312+0j) 0.225
(-0.303565396862+0j) (-1.75744001995+0j) 0.2251
(-0.302914144973+0j) (-1.76121843754+0j) 0.2252
(-0.30226599528+0j) (-1.76499502242+0j) 0.2253
(-0.301620921431+0j) (-1.7687698008+0j) 0.2254
(-0.300978897411+0j) (-1.77254279854+0j) 0.2255
(-0.300339897542+0j) (-1.77631404114+0j) 0.2256
(-0.29970389647+0j) (-1.7800835538+0j) 0.2257
(-0.299070869165+0j) (-1.78385136141+0j) 0.2258
(-0.298440790912+0j) (-1.7876174885+0j) 0.2259
(-0.297813637307+0j) (-1.79138195934+0j) 0.226
(-0.297189384252+0j) (-1.79514479785+0j) 0.2261
(-0.296568007949+0j) (-1.79890602768+0j) 0.2262
(-0.295949484895+0j) (-1.80266567217+0j) 0.2263
(-0.295333791877+0j) (-1.80642375438+0j) 0.2264
(-0.294720905968+0j) (-1.81018029707+0j) 0.2265
(-0.294110804522+0j) (-1.81393532273+0j) 0.2266
(-0.293503465167+0j) (-1.81768885357+0j) 0.2267
(-0.292898865805+0j) (-1.82144091153+0j) 0.2268
(-0.292296984603+0j) (-1.82519151828+0j) 0.2269
(-0.291697799991+0j) (-1.82894069524+0j) 0.227
(-0.291101290658+0j) (-1.83268846356+0j) 0.2271
(-0.290507435546+0j) (-1.83643484414+0j) 0.2272
(-0.289916213848+0j) (-1.84017985761+0j) 0.2273
(-0.289327605001+0j) (-1.84392352439+0j) 0.2274
(-0.288741588686+0j) (-1.84766586464+0j) 0.2275
(-0.288158144822+0j) (-1.85140689827+0j) 0.2276
(-0.287577253562+0j) (-1.85514664498+0j) 0.2277
(-0.286998895288+0j) (-1.85888512421+0j) 0.2278
(-0.286423050612+0j) (-1.86262235521+0j) 0.2279
(-0.285849700366+0j) (-1.86635835697+0j) 0.228
(-0.285278825606+0j) (-1.87009314829+0j) 0.2281
(-0.2847104076+0j) (-1.87382674773+0j) 0.2282
(-0.284144427833+0j) (-1.87755917364+0j) 0.2283
(-0.283580867998+0j) (-1.88129044418+0j) 0.2284
(-0.283019709995+0j) (-1.88502057728+0j) 0.2285
(-0.282460935928+0j) (-1.88874959068+0j) 0.2286
(-0.281904528099+0j) (-1.89247750192+0j) 0.2287
(-0.281350469011+0j) (-1.89620432833+0j) 0.2288
(-0.28079874136+0j) (-1.89993008706+0j) 0.2289
(-0.280249328031+0j) (-1.90365479505+0j) 0.229
(-0.279702212102+0j) (-1.90737846908+0j) 0.2291
(-0.279157376832+0j) (-1.91110112572+0j) 0.2292
(-0.278614805667+0j) (-1.91482278137+0j) 0.2293
(-0.278074482232+0j) (-1.91854345223+0j) 0.2294
(-0.277536390328+0j) (-1.92226315435+0j) 0.2295
(-0.277000513933+0j) (-1.92598190358+0j) 0.2296
(-0.276466837197+0j) (-1.92969971562+0j) 0.2297
(-0.275935344439+0j) (-1.93341660599+0j) 0.2298
(-0.275406020147+0j) (-1.93713259003+0j) 0.2299
(-0.274878848973+0j) (-1.94084768294+0j) 0.23
